,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-12-27,1048.0,1055.44,1040.26,1044.18,1044.18,335473,335473,-3.82,-0.3645,1046.97,"December 27, 24",-0.003645
1,2024-12-26,1045.0,1057.49,1045.0,1054.28,1054.28,292100,292100,9.28,0.88804,1050.4425,"December 26, 24",0.0088804
2,2024-12-24,1041.64,1054.83,1036.67,1054.83,1054.83,276623,276623,13.19,1.27,1046.9925,"December 24, 24",0.0127
3,2024-12-23,1025.89,1041.36,1023.36,1039.7,1039.7,488192,488192,13.81,1.35,1032.5775,"December 23, 24",0.0135
4,2024-12-20,1007.64,1036.77,1001.98,1028.69,1028.69,2079813,2079813,21.05,2.09,1018.77,"December 20, 24",0.0209
5,2024-12-19,1040.52,1040.88,1014.95,1016.33,1016.33,796570,796570,-24.19,-2.32,1028.17,"December 19, 24",-0.0232
6,2024-12-18,1049.22,1061.0,1018.96,1020.3,1020.3,865100,865100,-28.92,-2.76,1037.37,"December 18, 24",-0.0276
7,2024-12-17,1056.02,1059.75,1038.27,1049.22,1049.22,990433,990433,-6.8,-0.64393,1050.815,"December 17, 24",-0.0064393
8,2024-12-16,1059.38,1071.98,1056.5,1064.65,1064.65,897930,897930,5.27,0.49746,1063.1275,"December 16, 24",0.0049746
9,2024-12-13,1056.86,1061.44,1052.33,1056.54,1056.54,537361,537361,-0.32,-0.03027837,1056.7925,"December 13, 24",-0.0003027837
10,2024-12-12,1068.19,1074.05,1051.22,1058.82,1058.82,687331,687331,-9.37,-0.87718,1063.07,"December 12, 24",-0.0087718
11,2024-12-11,1061.14,1082.45,1060.28,1065.26,1065.26,1139700,1139700,4.12,0.38826,1067.2825,"December 11, 24",0.0038826
12,2024-12-10,1049.86,1064.85,1045.91,1057.07,1057.07,645055,645055,7.21,0.68676,1054.4225,"December 10, 24",0.0068676
13,2024-12-09,1049.97,1055.82,1043.25,1046.38,1046.38,742764,742764,-3.59,-0.34191,1048.855,"December 09, 24",-0.0034191
14,2024-12-06,1044.42,1053.23,1038.35,1042.87,1042.87,550452,550452,-1.55,-0.14841,1044.7175,"December 06, 24",-0.0014841
15,2024-12-05,1030.0,1057.61,1028.53,1044.78,1044.78,880600,880600,14.78,1.43,1040.23,"December 05, 24",0.0143
16,2024-12-04,1038.0,1039.38,1012.48,1035.0,1029.9,1029652,1029652,-3.0,-0.28902,1031.215,"December 04, 24",-0.0028902
17,2024-12-03,1031.09,1046.29,1021.0,1039.0,1033.88,941990,941990,7.91,0.76715,1034.345,"December 03, 24",0.0076715
18,2024-12-02,1026.55,1033.65,1012.87,1020.11,1015.08,719871,719871,-6.44,-0.62734,1023.295,"December 02, 24",-0.0062734
19,2024-11-29,1020.82,1029.32,1020.82,1022.8,1017.76,390048,390048,1.98,0.19396,1023.44,"November 29, 24",0.0019396
20,2024-11-27,1029.55,1034.0,1018.04,1019.45,1014.43,481939,481939,-10.1,-0.98101,1025.26,"November 27, 24",-0.0098101
21,2024-11-26,1032.05,1038.32,1018.2,1026.48,1021.42,772882,772882,-5.57,-0.5397,1028.7625,"November 26, 24",-0.005397
